,0,1,2
0,26,39°,21°
1,27,40°,19°
2,28,40°,17°
3,29,40°,23°
4,30,40°,24°
5,31,40°,22°
6,1,38°,26°
7,2,37°,21°
8,3,36°,18°
9,4,37°,20°
10,5,37°,18°
11,6,38°,18°
12,7,37°,17°
13,8,39°,15°
14,9,40°,18°
15,10,40°,18°
16,11,40°,18°
17,12,40°,18°
18,13,40°,17°
19,14,41°,19°
20,15,40°,22°
21,16,41°,22°
22,17,39°,22°
23,18,41°,20°
24,19,39°,18°
25,20,39°,22°
26,21,36°,21°
27,22,36°,22°
28,23,36°,21°
29,24,36°,20°
30,25,36°,19°
31,26,38°,21°
32,27,39°,22°
33,28,38°,20°
34,29,38°,22°
35,30,38°,17°
36,1,39°,19°
37,2,40°,20°
38,3,36°,23°
39,4,40°,25°
40,5,41°,24°
41,6,40°,25°
