,0,1,2
0,26,31°,22°
1,27,30°,23°
2,28,30°,23°
3,29,30°,22°
4,30,31°,22°
5,31,33°,23°
6,1,32°,22°
7,2,32°,22°
8,3,29°,23°
9,4,26°,22°
10,5,27°,22°
11,6,26°,21°
12,7,28°,23°
13,8,29°,22°
14,9,28°,22°
15,10,28°,22°
16,11,27°,21°
17,12,26°,23°
18,13,25°,22°
19,14,27°,21°
20,15,25°,22°
21,16,26°,22°
22,17,26°,22°
23,18,27°,22°
24,19,29°,22°
25,20,27°,22°
26,21,27°,22°
27,22,28°,22°
28,23,28°,22°
29,24,28°,21°
30,25,30°,21°
31,26,29°,20°
32,27,30°,21°
33,28,29°,21°
34,29,26°,21°
35,30,28°,21°
36,31,28°,21°
37,1,31°,22°
38,2,32°,20°
39,3,33°,22°
40,4,33°,21°
41,5,35°,23°
