,0,1,2
0,26,30°,14°
1,27,29°,13°
2,28,31°,12°
3,29,30°,12°
4,30,30°,12°
5,1,29°,13°
6,2,28°,12°
7,3,29°,15°
8,4,29°,18°
9,5,32°,19°
10,6,32°,20°
11,7,30°,17°
12,8,31°,18°
13,9,31°,18°
14,10,30°,16°
15,11,31°,15°
16,12,29°,14°
17,13,30°,14°
18,14,31°,13°
19,15,29°,15°
20,16,30°,15°
21,17,29°,14°
22,18,27°,14°
23,19,28°,12°
24,20,29°,12°
25,21,29°,11°
26,22,29°,11°
27,23,30°,10°
28,24,31°,11°
29,25,31°,11°
30,26,28°,11°
31,27,29°,11°
32,28,29°,9°
33,29,29°,9°
34,30,29°,9°
35,31,29°,10°
36,1,29°,11°
37,2,29°,11°
38,3,29°,11°
39,4,29°,12°
40,5,29°,12°
41,6,29°,13°
