,0,1,2
0,27,28°,7°
1,28,30°,9°
2,29,31°,10°
3,30,32°,10°
4,31,32°,10°
5,1,32°,10°
6,2,32°,11°
7,3,32°,10°
8,4,31°,10°
9,5,31°,11°
10,6,30°,11°
11,7,30°,14°
12,8,31°,12°
13,9,30°,11°
14,10,30°,11°
15,11,30°,10°
16,12,31°,10°
17,13,30°,12°
18,14,31°,12°
19,15,30°,13°
20,16,29°,15°
21,17,28°,10°
22,18,32°,11°
23,19,28°,10°
24,20,28°,8°
25,21,26°,8°
26,22,27°,7°
27,23,28°,9°
28,24,30°,12°
29,25,31°,12°
30,26,33°,11°
31,27,33°,11°
32,28,34°,10°
33,29,32°,11°
34,30,34°,12°
35,31,34°,13°
36,1,34°,13°
37,2,34°,13°
38,3,34°,11°
39,4,33°,9°
40,5,34°,10°
41,6,31°,12°
