,0,1,2
0,24,36°,17°
1,25,35°,14°
2,26,31°,14°
3,27,31°,12°
4,28,31°,11°
5,1,34°,12°
6,2,37°,14°
7,3,34°,16°
8,4,33°,17°
9,5,32°,18°
10,6,31°,16°
11,7,34°,13°
12,8,36°,15°
13,9,36°,14°
14,10,37°,15°
15,11,36°,14°
16,12,36°,16°
17,13,36°,16°
18,14,35°,16°
19,15,36°,15°
20,16,38°,16°
21,17,37°,16°
22,18,37°,15°
23,19,37°,15°
24,20,38°,15°
25,21,36°,15°
26,22,37°,14°
27,23,38°,16°
28,24,38°,17°
29,25,40°,18°
30,26,39°,19°
31,27,40°,19°
32,28,40°,19°
33,29,40°,19°
34,30,41°,21°
35,31,40°,22°
36,1,39°,19°
37,2,39°,17°
38,3,40°,19°
39,4,41°,19°
40,5,38°,21°
41,6,35°,20°
