,0,1,2
0,25,39°,20°
1,26,39°,22°
2,27,38°,23°
3,28,38°,19°
4,29,39°,22°
5,30,38°,20°
6,1,37°,20°
7,2,36°,22°
8,3,36°,20°
9,4,37°,21°
10,5,38°,22°
11,6,38°,23°
12,7,37°,23°
13,8,38°,23°
14,9,37°,24°
15,10,38°,22°
16,11,37°,23°
17,12,37°,22°
18,13,35°,23°
19,14,38°,23°
20,15,37°,24°
21,16,30°,23°
22,17,28°,22°
23,18,32°,23°
24,19,31°,23°
25,20,34°,21°
26,21,35°,23°
27,22,34°,23°
28,23,35°,23°
29,24,35°,23°
30,25,35°,23°
31,26,35°,24°
32,27,34°,24°
33,28,34°,24°
34,29,35°,23°
35,30,34°,23°
36,31,34°,24°
37,1,34°,22°
38,2,35°,23°
39,3,34°,23°
40,4,33°,22°
41,5,31°,21°
