,0,1,2
0,26,29°,21°
1,27,29°,21°
2,28,28°,22°
3,29,29°,21°
4,30,30°,21°
5,1,33°,20°
6,2,32°,22°
7,3,31°,21°
8,4,34°,21°
9,5,33°,21°
10,6,33°,22°
11,7,32°,21°
12,8,33°,23°
13,9,31°,22°
14,10,31°,20°
15,11,32°,20°
16,12,33°,21°
17,13,33°,21°
18,14,33°,20°
19,15,33°,19°
20,16,33°,18°
21,17,32°,20°
22,18,31°,19°
23,19,31°,19°
24,20,33°,19°
25,21,32°,17°
26,22,32°,17°
27,23,33°,16°
28,24,32°,16°
29,25,32°,17°
30,26,32°,17°
31,27,31°,16°
32,28,31°,15°
33,29,31°,15°
34,30,31°,14°
35,31,33°,16°
36,1,33°,17°
37,2,31°,18°
38,3,31°,17°
39,4,32°,19°
40,5,31°,19°
41,6,32°,21°
