,0,1,2
0,26,26°,21°
1,27,26°,21°
2,28,27°,21°
3,29,29°,20°
4,30,28°,21°
5,31,29°,21°
6,1,28°,21°
7,2,27°,21°
8,3,28°,21°
9,4,28°,20°
10,5,28°,21°
11,6,29°,21°
12,7,27°,20°
13,8,28°,19°
14,9,30°,18°
15,10,30°,18°
16,11,31°,18°
17,12,30°,18°
18,13,30°,18°
19,14,31°,18°
20,15,31°,20°
21,16,30°,21°
22,17,31°,20°
23,18,32°,20°
24,19,28°,21°
25,20,32°,22°
26,21,31°,20°
27,22,31°,22°
28,23,31°,19°
29,24,32°,22°
30,25,34°,21°
31,26,34°,22°
32,27,34°,22°
33,28,34°,22°
34,29,34°,22°
35,30,34°,20°
36,1,33°,20°
37,2,34°,22°
38,3,34°,21°
39,4,30°,22°
40,5,32°,20°
41,6,33°,19°
