,0,1,2
0,26,27°,22°
1,27,30°,22°
2,28,29°,23°
3,29,28°,22°
4,30,27°,22°
5,1,29°,23°
6,2,28°,23°
7,3,26°,22°
8,4,28°,23°
9,5,28°,22°
10,6,28°,22°
11,7,27°,22°
12,8,27°,22°
13,9,26°,22°
14,10,25°,22°
15,11,26°,22°
16,12,29°,22°
17,13,28°,22°
18,14,28°,22°
19,15,27°,22°
20,16,30°,22°
21,17,29°,23°
22,18,26°,22°
23,19,27°,22°
24,20,27°,22°
25,21,28°,21°
26,22,25°,22°
27,23,29°,22°
28,24,31°,21°
29,25,31°,22°
30,26,30°,22°
31,27,27°,22°
32,28,28°,22°
33,29,28°,21°
34,30,27°,22°
35,31,28°,22°
36,1,26°,21°
37,2,26°,21°
38,3,25°,21°
39,4,28°,21°
40,5,25°,22°
41,6,26°,22°
