,0,1,2
0,26,38°,23°
1,27,39°,24°
2,28,40°,24°
3,29,40°,23°
4,30,39°,16°
5,31,40°,24°
6,1,38°,25°
7,2,39°,24°
8,3,36°,25°
9,4,37°,25°
10,5,40°,25°
11,6,35°,25°
12,7,38°,25°
13,8,40°,24°
14,9,38°,24°
15,10,36°,21°
16,11,37°,23°
17,12,31°,24°
18,13,32°,22°
19,14,33°,23°
20,15,32°,24°
21,16,34°,24°
22,17,33°,24°
23,18,33°,23°
24,19,30°,23°
25,20,34°,23°
26,21,35°,23°
27,22,34°,24°
28,23,33°,25°
29,24,32°,24°
30,25,34°,23°
31,26,33°,23°
32,27,31°,23°
33,28,28°,23°
34,29,26°,22°
35,30,27°,21°
36,1,26°,22°
37,2,28°,22°
38,3,28°,22°
39,4,30°,23°
40,5,28°,23°
41,6,26°,22°
