Date,high,low
1,32,10
2,32,11
3,32,10
4,31,10
5,31,11
6,30,11
7,30,14
8,31,12
9,30,11
10,30,11
11,30,10
12,31,10
13,30,12
14,31,12
15,30,13
16,29,15
17,28,10
18,32,11
19,28,10
20,28,8
21,26,8
22,27,7
23,28,9
24,30,12
25,31,12
26,33,11
27,33,11
28,34,10
29,32,11
30,34,12
31,34,13
1,34,13
2,34,13
3,34,11
4,33,9
5,34,10
6,31,12
7,31,13
8,32,12
9,34,14
10,31,15
11,31,16
12,30,15
13,31,13
14,31,12
15,33,16
16,33,15
17,34,17
18,34,14
19,33,18
20,35,18
21,35,20
22,37,19
23,37,15
24,34,15
25,34,13
26,35,14
27,36,15
28,36,18
29,35,21
1,33,19
2,34,17
3,33,18
4,31,17
5,33,18
6,33,16
7,35,15
8,35,16
9,36,16
10,36,17
11,38,17
12,36,18
13,33,18
14,33,13
15,35,15
16,35,17
17,37,17
18,38,18
19,38,18
20,37,18
21,37,17
22,37,14
23,38,16
24,35,17
25,39,21
26,39,22
27,39,21
28,38,19
29,38,18
30,38,17
31,38,17
1,39,17
2,40,19
3,40,21
4,39,22
5,37,22
6,38,22
7,38,19
8,39,18
9,39,19
10,39,20
11,39,21
12,40,20
13,40,19
14,41,17
15,41,20
16,40,19
17,38,18
18,40,21
19,41,25
20,40,25
21,40,23
22,37,24
23,36,20
24,35,20
25,39,17
26,40,18
27,41,21
28,40,22
29,41,22
30,40,20
1,40,21
2,39,21
3,41,19
4,39,20
5,39,24
6,38,22
7,38,20
8,39,23
9,39,24
10,37,21
11,39,21
12,39,23
13,39,25
14,40,25
15,40,24
16,40,25
17,41,25
18,37,26
19,38,25
20,36,26
21,35,25
22,37,25
23,36,25
24,37,25
25,35,26
26,35,25
27,36,24
28,36,25
29,36,24
30,37,24
31,37,24
2,37,25
3,39,25
4,36,26
5,34,20
6,29,21
7,34,23
8,35,25
9,36,25
10,31,25
11,31,25
12,33,25
13,33,25
14,33,25
15,33,24
16,34,24
17,33,24
18,31,25
19,30,24
20,31,22
21,33,23
22,34,22
