0,1,2
10,11,10
11,10,10
10,10,11
10,11,11
11,11,14
11,14,12
14,12,11
12,11,11
11,11,10
11,10,10
10,10,12
10,12,12
12,12,13
12,13,15
13,15,10
15,10,11
10,11,10
11,10,8
10,8,8
8,8,7
8,7,9
7,9,12
9,12,12
12,12,11
12,11,11
11,11,10
11,10,11
10,11,12
11,12,13
12,13,13
13,13,13
13,13,11
13,11,9
11,9,10
9,10,12
10,12,13
12,13,12
13,12,14
12,14,15
14,15,16
15,16,15
16,15,13
15,13,12
13,12,16
12,16,15
16,15,17
15,17,14
17,14,18
14,18,18
18,18,20
18,20,19
20,19,15
19,15,15
15,15,13
15,13,14
13,14,15
14,15,18
15,18,21
18,21,19
21,19,17
19,17,18
17,18,17
18,17,18
17,18,16
18,16,15
16,15,16
15,16,16
16,16,17
16,17,17
17,17,18
17,18,18
18,18,13
18,13,15
13,15,17
15,17,17
17,17,18
17,18,18
18,18,18
18,18,17
18,17,14
17,14,16
14,16,17
16,17,21
17,21,22
21,22,21
22,21,19
21,19,18
19,18,17
18,17,17
17,17,17
17,17,19
17,19,21
19,21,22
21,22,22
22,22,22
22,22,19
22,19,18
19,18,19
18,19,20
19,20,21
20,21,20
21,20,19
20,19,17
19,17,20
17,20,19
20,19,18
19,18,21
18,21,25
21,25,25
25,25,23
25,23,24
23,24,20
24,20,20
20,20,17
20,17,18
17,18,21
18,21,22
21,22,22
22,22,20
22,20,21
20,21,21
21,21,19
21,19,20
19,20,24
20,24,22
24,22,20
22,20,23
20,23,24
23,24,21
24,21,21
21,21,23
21,23,25
23,25,25
25,25,24
25,24,25
24,25,25
25,25,26
25,26,25
26,25,26
25,26,25
26,25,25
25,25,25
25,25,25
25,25,26
25,26,25
26,25,24
25,24,25
24,25,24
25,24,24
24,24,24
24,24,25
24,25,25
25,25,26
25,26,20
26,20,21
20,21,23
21,23,25
23,25,25
25,25,25
25,25,25
25,25,25
25,25,25
25,25,25
25,25,24
25,24,24
24,24,24
24,24,25
24,25,24
25,24,22
24,22,23
22,23,22
23,22,23
22,23,22
23,22,22
22,22,22
22,22,22
22,22,23
22,23,22
23,22,22
22,22,23
22,23,23
23,23,22
23,22,23
22,23,22
23,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,22
22,22,23
22,23,22
23,22,22
22,22,22
22,22,21
22,21,22
21,22,22
22,22,21
22,21,22
21,22,22
22,22,22
22,22,22
22,22,21
22,21,22
21,22,22
22,22,21
22,21,21
21,21,21
21,21,22
21,22,22
22,22,22
22,22,22
22,22,22
22,22,21
22,21,22
