,Date,high_1,high_2,high_3,high_Output,low_1,low_2,low_3,low_Output
0,1,32.0,32.0,32.0,31.0,10.0,11.0,10.0,10.0
1,2,32.0,32.0,31.0,31.0,11.0,10.0,10.0,11.0
2,3,32.0,31.0,31.0,30.0,10.0,10.0,11.0,11.0
3,4,31.0,31.0,30.0,30.0,10.0,11.0,11.0,14.0
4,5,31.0,30.0,30.0,31.0,11.0,11.0,14.0,12.0
5,6,30.0,30.0,31.0,30.0,11.0,14.0,12.0,11.0
6,7,30.0,31.0,30.0,30.0,14.0,12.0,11.0,11.0
7,8,31.0,30.0,30.0,30.0,12.0,11.0,11.0,10.0
8,9,30.0,30.0,30.0,31.0,11.0,11.0,10.0,10.0
9,10,30.0,30.0,31.0,30.0,11.0,10.0,10.0,12.0
10,11,30.0,31.0,30.0,31.0,10.0,10.0,12.0,12.0
11,12,31.0,30.0,31.0,30.0,10.0,12.0,12.0,13.0
12,13,30.0,31.0,30.0,29.0,12.0,12.0,13.0,15.0
13,14,31.0,30.0,29.0,28.0,12.0,13.0,15.0,10.0
14,15,30.0,29.0,28.0,32.0,13.0,15.0,10.0,11.0
15,16,29.0,28.0,32.0,28.0,15.0,10.0,11.0,10.0
16,17,28.0,32.0,28.0,28.0,10.0,11.0,10.0,8.0
17,18,32.0,28.0,28.0,26.0,11.0,10.0,8.0,8.0
18,19,28.0,28.0,26.0,27.0,10.0,8.0,8.0,7.0
19,20,28.0,26.0,27.0,28.0,8.0,8.0,7.0,9.0
20,21,26.0,27.0,28.0,30.0,8.0,7.0,9.0,12.0
21,22,27.0,28.0,30.0,31.0,7.0,9.0,12.0,12.0
22,23,28.0,30.0,31.0,33.0,9.0,12.0,12.0,11.0
23,24,30.0,31.0,33.0,33.0,12.0,12.0,11.0,11.0
24,25,31.0,33.0,33.0,34.0,12.0,11.0,11.0,10.0
25,26,33.0,33.0,34.0,32.0,11.0,11.0,10.0,11.0
26,27,33.0,34.0,32.0,34.0,11.0,10.0,11.0,12.0
27,28,34.0,32.0,34.0,34.0,10.0,11.0,12.0,13.0
28,29,32.0,34.0,34.0,34.0,11.0,12.0,13.0,13.0
29,30,34.0,34.0,34.0,34.0,12.0,13.0,13.0,13.0
30,31,34.0,34.0,34.0,34.0,13.0,13.0,13.0,11.0
